symbol,action,shares,price,commission
AAPL,BUY,100,150.25,9.95
MSFT,BUY,50,280.50,9.95
GOOGL,BUY,25,2750.80,9.95
AAPL,BUY,50,155.75,9.95
AMZN,BUY,20,3200.40,9.95
TSLA,BUY,30,850.60,9.95
MSFT,SELL,20,290.25,9.95
AAPL,SELL,25,160.80,9.95
JPM,BUY,75,145.30,9.95
META,BUY,40,320.75,9.95
NVDA,BUY,15,480.90,9.95
GOOGL,SELL,10,2800.50,9.95
TSLA,SELL,15,880.40,9.95
BAC,BUY,100,32.85,9.95
JNJ,BUY,60,165.20,9.95
AAPL,BUY,75,148.90,9.95
MSFT,BUY,30,285.60,9.95
XOM,BUY,80,95.40,9.95
WMT,BUY,45,142.80,9.95
HD,BUY,35,315.60,9.95
PFE,BUY,120,45.75,9.95
CVX,BUY,55,158.30,9.95
AMZN,SELL,5,3350.20,9.95
META,SELL,15,335.90,9.95
KO,BUY,90,58.40,9.95
UNH,BUY,25,495.70,9.95
NVDA,SELL,5,520.80,9.95
JPM,SELL,25,152.60,9.95
PG,BUY,40,145.90,9.95
COP,BUY,70,105.80,9.95
